unmapped_SMILES,mapped_SMILES
c-N(=O)-O>>[H]-N(-[H])-c,[c:7]-[N&+:13](=[O:19])-[O&-:20]>>[c:7]-[N:13](-[#1:1013])-[#1:2013]
[H]-O-C(-c)=O>>c-C(=O)-Cl,[#1:1016]-[O:16]-[C:8](-[c:3])=[O:13]>>[c:3]-[C:8](-[Cl:17])=[O:13]
[H]-c(:c):c>>c:c(:c)-Br,[c:16]:[c:17](-[#1:1017]):[c:15]>>[c:16]:[c:17](-[Br:18]):[c:15]
[H]-O-C(-C)=O>>C-C(=O)-Cl,[#1:1008]-[O:8]-[C:3](-[C:1])=[O:7]>>[C:1]-[C:3](-[Cl:9])=[O:7]
[H]-O-B(-O-[H])-c(:c):c.c:c(:c)-Br>>c:c(:c)-c(:c):c,[#1:1029]-[O:29]-[B:30](-[O:31]-[#1:1031])-[c:18](:[c:17]):[c:21].[c:7]:[c:12](-[Br:28]):[c:9]>>[c:7]:[c:12](-[c:18](:[c:17]):[c:21]):[c:9]
[H]-C(-[H])(-[H])-C(-O-C(=O)-O-C(=O)-O)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H].[H]-N-C>>C-N-C(=O)-O,[#1:1022]-[C:22](-[#1:2022])(-[#1:3022])-[C:23](-[O:24]-[C:25](=[O:26])-[O:27]-[C:1](-[O:2])=[O:3])(-[C:28](-[#1:1028])(-[#1:2028])-[#1:3028])-[C:29](-[#1:1029])(-[#1:2029])-[#1:3029].[C:20]-[N:21]-[#1:2021]>>[O:2]-[C:1](=[O:3])-[N:21]-[C:20]
C-C-Br.[H]-O-c>>C-C-O-c,[C:1]-[C:3]-[Br:15].[c:13]-[O:14]-[#1:1014]>>[C:1]-[C:3]-[O:14]-[c:13]
[H]-C(-[H])-C.c-C=O>>C-C=C-c,[C:4]-[C:9](-[#1:2009])-[#1:3009].[c:19]-[C:23]=[O:24]>>[C:4]-[C:9]=[C:23]-[c:19]
c-C=O>>[H]-O-C(-[H])-c,[c:8]-[C:14]=[O:20]>>[c:8]-[C:14](-[#1:2014])-[O:20]-[#1:1020]
C-C(=O)-Cl.[H]-N-c>>c-N-C(-C)=O,[C:15]-[C:13](-[Cl:16])=[O:14].[c:2]-[N:6]-[#1:2006]>>[c:2]-[N:6]-[C:13](=[O:14])-[C:15]
[H]-O-C.[H]-O-C(-C)=O>>C-O-C(-C)=O,[#1:1025]-[O:25]-[C:14](-[C:13])=[O:15].[C:21]-[O:23]-[#1:1023]>>[C:13]-[C:14](=[O:15])-[O:23]-[C:21]
[H]-O-C(-[H])-c>>c-C=O,[c:22]-[C:25](-[#1:2025])-[O:26]-[#1:1026]>>[c:22]-[C:25]=[O:26]
[H]-O-C(-[H])-C>>C-C=O,[C:3]-[C:8](-[#1:2008])-[O:12]-[#1:1012]>>[C:3]-[C:8]=[O:12]
